Slope Angle,HS,Profile Depth,WL_Depth,max_stress,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion
38,1530.0,1530.0,590.0,0.01671534999773794,51.78739215473267,136.91100616961012,2.6612538527702916,1126.7950688092453,1.8795782429884687,0.06020066889632107
38,1880.0,1880.0,1130.0,0.08970522105793194,99.06022433029915,276.77082098615165,6.088385572322696,1579.310361734245,1.5771138764002497,0.12137203166226913
36,1410.0,1410.0,330.0,0.007999739927152364,60.151331120389976,151.39057891606438,1.832172393742709,1053.879443730198,1.7511428528969342,0.3916913946587537
41,600.0,600.0,180.0,0.0065705614603247045,130.67140864825586,273.0745658234978,1.5897177267378253,1326.9015619828076,2.060419467488897,0.20218579234972678
35,1860.0,1860.0,980.0,0.05517012246152307,75.28246348898793,203.7799546504738,4.740254114256712,1525.9373995735286,1.1222092444074787,0.04786150712830957
39,1070.0,1070.0,480.0,0.016666223149770804,105.1779589033329,270.4550876958552,2.58766537283223,1879.4927538791753,1.864402092305566,0.07346938775510205
40,600.0,600.0,510.0,0.028286655834829293,109.65213340957148,281.5613915244777,3.439755313132299,1521.567464111252,2.9230166577891943,0.21165048543689322
34,850.0,850.0,380.0,0.0040238641897248385,19.48348770585562,53.59665062555409,1.435831355895368,648.3824390601276,1.2678447845011376,0.1514360313315927
30,640.0,640.0,190.0,0.0023839448857142474,36.50526228541579,92.52397928978414,1.052438578214687,842.8806630329808,2.0718183635140286,0.25906735751295334
38,1000.0,1000.0,430.0,0.006137206354179013,32.2511381169137,84.32875859811406,1.6449721599350233,890.5065487958752,1.5169337845432989,0.18663594470046083
37,630.0,630.0,340.0,0.01429732498066201,101.78368072074434,254.48969322435175,2.416404510519227,1569.124740137297,2.3792719819028614,0.20579710144927535
38,1080.0,1080.0,410.0,0.030395953409987048,169.67431146795738,406.2693149196317,3.534981942959301,1762.9261565016657,1.89027317733984,0.2560386473429952
38,1530.0,1530.0,590.0,0.01671534999773794,51.78739215473267,136.91100616961012,2.6612538527702916,1126.7950688092453,1.8795782429884687,0.06020066889632107
34,2150.0,2000.0,880.0,0.0584014368402838,81.69248912542035,222.11313012715837,5.024017580708301,1496.5748065828823,1.391621135910041,0.17792792792792791
46,1760.0,1760.0,1500.0,0.31158359623344434,206.88536104791183,515.5239605700688,10.712406400627332,2574.5592522428465,1.2822491174775859,0.19389110225763612
28,1300.0,1300.0,350.0,0.015227559918218878,99.85961334148298,246.00964563335955,2.5843134637857927,1408.448391637388,1.917943613641584,0.3137254901960784
39,1360.0,1360.0,620.0,0.029333543633633056,99.69435187492134,257.12314251321914,3.451274971378394,1575.5697189220182,4.392385150059263,0.11802232854864433
42,1550.0,1550.0,510.0,0.027016628512664398,108.5196484118454,280.3859432043885,3.2969946340023006,1686.823715106938,2.1720420562583334,0.06395348837209303
39,1360.0,1360.0,660.0,0.036682837806269276,121.15228768106337,303.9467484020822,3.7920572826546275,1803.5490352600223,3.9457726700851055,0.12425149700598802
35,1180.0,1180.0,730.0,0.04559948475880763,100.4113190045211,266.22883400838964,4.395632770483248,1549.4072173358502,1.757399189127653,0.25815217391304346
33,1030.0,1030.0,570.0,0.023588576166989818,84.23150516948621,212.14660570718115,3.1371159077640636,1352.6539575565164,1.8279319993805623,0.32578397212543553
37,1450.0,1450.0,330.0,0.02069672595339457,146.59149585063352,352.7467117311263,2.890633729830885,1754.0935356034668,1.773447176373439,0.2215568862275449
36,1120.0,1120.0,810.0,0.061023374296504916,117.80380777716242,310.48521985217155,5.043930375852755,1710.75476293664,1.653061623761502,0.24019607843137256
30,842.0,842.0,262.0,0.011027911202707229,107.55456423114043,255.82783150800657,2.1505953019475093,1486.4666969758512,2.268154503017614,0.2379182156133829
44,1840.0,1840.0,1060.0,0.15247178370917253,209.6139922251139,476.8425272632552,7.591738937027487,2282.016459772173,1.8515939084726156,0.20018796992481203
38,950.0,950.0,360.0,0.024548825416716148,148.49873629985328,354.50986544621884,3.1217662107398376,1777.7662039107865,1.9215426143350742,0.2396694214876033
30,560.0,560.0,240.0,0.0019194789524856928,19.41446893773227,51.76852792540904,1.000518838145481,647.8601754199415,1.6982618682931427,0.24380165289256198
41,950.0,950.0,270.0,0.002550631595616517,33.18095603472249,83.83327939409497,1.031378709537293,829.2735846974168,1.5505601732612544,0.29044117647058826
45,1450.0,1450.0,580.0,0.034015586665444485,111.66370010486355,289.13240853498576,3.6886282718679952,1486.178892646213,1.977708982632546,0.20411663807890223
37,1210.0,1210.0,700.0,0.037760422259014284,91.22753927089946,240.42221561781702,3.9530629012498792,1444.8909454704444,1.5851245311325473,0.2297872340425532
42,1300.0,1300.0,620.0,0.04046905254852665,119.78646091303469,300.6057452453187,3.953368020881525,1698.79375049711,1.5771852748756288,0.28753993610223644
32,1350.0,1350.0,570.0,0.025043207566942054,90.62698452140724,237.01761184534053,3.340628144646394,1498.1890079306388,3.6299337527962448,0.03986135181975736
45,950.0,950.0,700.0,0.0444327129542173,117.33022534203108,284.7150515646174,4.131983663556942,1519.7701569941785,1.7541308501113768,0.2705382436260623
37,1440.0,1440.0,860.0,0.06124538274817043,124.67595423127496,311.94287733036924,4.9141518988304975,1825.4244504627143,1.555538735673955,0.22722029988465975
38,1300.0,1300.0,780.0,0.050364794966628504,126.04343273323397,320.5912215276637,4.517330742230482,1743.1186859468587,2.2360467915435156,0.0724269377382465
31,1550.0,1550.0,920.0,0.04741335423719498,106.87058898798702,253.98820832785708,4.366128521106992,1681.8933926806833,1.324884370091709,0.20432432432432432
41,900.0,900.0,350.0,0.01517503899977464,116.13467839634761,291.27845044220066,2.444197342465647,1736.9362332557916,1.9055245666049414,0.11864406779661017
28,730.0,730.0,360.0,0.006820176999210751,44.2308036688735,114.50256075030751,1.7519609807384044,981.1086677417823,1.438536035616255,0.3469945355191257
28,900.0,900.0,450.0,0.014006792985839598,86.65773689440721,192.66724692897418,2.425658482658588,1253.440103196451,1.7933226564326277,0.37389380530973454
38,870.0,870.0,320.0,0.006725384179782307,60.07538102939191,154.81716704405068,1.6866110492480457,1054.9268998826667,2.955348661145778,0.1651376146788991
32,1150.0,1150.0,470.0,0.015122410306549478,103.58895786132186,205.45895723587464,2.476497246978114,1328.39521222302,2.063460565241256,0.11228813559322035
33,710.0,710.0,480.0,0.017235281679959878,68.7543492209888,178.40237934881299,2.7255633264364225,1275.8070121456174,2.3613737447162353,0.16082474226804125
30,1050.0,1050.0,500.0,0.02165509184047585,84.41735142508652,215.18172131681473,3.052349230814615,1378.7452644114294,1.9830561235571653,0.2261904761904762
32,2170.0,2170.0,360.0,0.016897397023778255,104.85110310717648,260.09645325224017,2.701647320416651,1435.9877422295558,2.401954288665541,0.24242424242424243
38,700.0,700.0,230.0,0.0026315440450815006,50.52638398932924,127.21373569378129,1.0754496626246897,1109.1373911049145,2.1471526118451676,0.04700854700854701
28,1410.0,1410.0,430.0,0.013102740338399036,60.88906412280283,157.84765598037174,2.4374928713844137,1254.5349320610162,4.145544345564233,0.1867881548974943
30,1550.0,1550.0,810.0,0.08643798644306798,152.14785529504937,393.1981521049014,5.979108600994233,2160.273749766709,1.8609024157342888,0.23378212974296206
36,810.0,810.0,280.0,0.0051145001352614974,50.03607321296663,126.78613560861832,1.4757762688028715,965.5710250207998,1.7927990142492507,0.36619718309859156
